Cleared Hurdle Still Leaves Tesla Stock in Ludicrous Mode - The Wall Street Journal;https://news.google.com/__i/rss/rd/articles/CBMiYmh0dHBzOi8vd3d3Lndzai5jb20vYXJ0aWNsZXMvY2xlYXJlZC1odXJkbGUtc3RpbGwtbGVhdmVzLXRlc2xhLXN0b2NrLWluLWx1ZGljcm91cy1tb2RlLTExNjA5NjIyMTgy0gFmaHR0cHM6Ly93d3cud3NqLmNvbS9hbXAvYXJ0aWNsZXMvY2xlYXJlZC1odXJkbGUtc3RpbGwtbGVhdmVzLXRlc2xhLXN0b2NrLWluLWx1ZGljcm91cy1tb2RlLTExNjA5NjIyMTgy?oc=5;null;BUSINESS;1609665122.408595;Cleared Hurdle Still Leaves Tesla Stock in Ludicrous Mode    The Wall Street Journal Tesla reports 499,550 vehicle deliveries for 2020, slightly missing target    CNBC Tesla fell just short of delivering 500,000 vehicles in 2020    The Verge Tesla hit half-million car target in 2020    CNN Elon Musk on why China has been good to him and how it’s ‘better’ than US    Gadgets Now 
Bitcoin Keeps Moving On Up, Reaching $33,000 in Value - Gizmodo;https://news.google.com/__i/rss/rd/articles/CBMiUmh0dHBzOi8vZ2l6bW9kby5jb20vYml0Y29pbi1rZWVwcy1tb3Zpbmctb24tdXAtcmVhY2hpbmctMzMtMDAwLWluLXZhbHVlLTE4NDU5Nzk2MzLSAVZodHRwczovL2dpem1vZG8uY29tL2JpdGNvaW4ta2VlcHMtbW92aW5nLW9uLXVwLXJlYWNoaW5nLTMzLTAwMC1pbi12YWx1ZS0xODQ1OTc5NjMyL2FtcA?oc=5;https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/ti4pnr0dzy4ilulignek.jpg;BUSINESS;1609665122.408595;Bitcoin Keeps Moving On Up, Reaching $33,000 in Value    Gizmodo Bitcoin soars past $33,000, its highest ever    CNN Bitcoin Blasts Past $34K for First Time, Hours After Blowing Through $30K - CoinDesk    CoinDesk Bitcoin soars past US$33000, its highest ever    CTV News Bitcoin soars to a new record above $33,000 Saturday    MarketWatch 
St. Johns County: COVID-19 vaccines to be given by appointment only, starting Monday - WJXT News4JAX;https://news.google.com/__i/rss/rd/articles/CBMifWh0dHBzOi8vd3d3Lm5ld3M0amF4LmNvbS9oZWFsdGgvMjAyMS8wMS8wMi9zdC1qb2hucy1jb3VudHktY292aWQtMTktdmFjY2luZXMtdG8tYmUtZ2l2ZW4tYnktYXBwb2ludG1lbnQtb25seS1zdGFydGluZy1tb25kYXkv0gEA?oc=5;https://www.news4jax.com/resizer/BBwR4ktsaX5jklvKD-yLY40qeaE=/1600x900/smart/filters:format(jpeg):strip_exif(true):strip_icc(true):no_upscale(true):quality(65)/d1vhqlrjc8h82r.cloudfront.net/01-03-2021/t_9b1dbd4c1dbc433fad86f3c4ec8f25bd_name_image.jpg;BUSINESS;1609665122.408595;St. Johns County: COVID-19 vaccines to be given by appointment only, starting Monday    WJXT News4JAX  St. Johns County will now operate COVID-19 vaccination program    FirstCoastNews.com WTLV-WJXX WATCH LIVE: St. Johns County holds press conference on vaccination program    First Coast News People Camping In Vaccine Line In St. Johns County    News4JAX County taking over vaccinations in St. Johns    News4JAX 
Lehigh Valley distillers surprised when FDA tells them to pay thousands for stepping up to make hand sanitizer - The Morning Call;https://news.google.com/__i/rss/rd/articles/CBMid2h0dHBzOi8vd3d3Lm1jYWxsLmNvbS9idXNpbmVzcy9tYy1iaXotZmRhLWRpc3RpbGxlcnMtZmVlcy1oYW5kLXNhbml0aXplci0yMDIxMDEwMi1rNGU3ejRhMmhqZmh6YWdkbTN2M2d3MmhzYS1zdG9yeS5odG1s0gGGAWh0dHBzOi8vd3d3Lm1jYWxsLmNvbS9idXNpbmVzcy9tYy1iaXotZmRhLWRpc3RpbGxlcnMtZmVlcy1oYW5kLXNhbml0aXplci0yMDIxMDEwMi1rNGU3ejRhMmhqZmh6YWdkbTN2M2d3MmhzYS1zdG9yeS5odG1sP291dHB1dFR5cGU9YW1w?oc=5;https://news.google.com/__i/rss/rd/articles/favicon.ico;BUSINESS;1609665122.408595;Lehigh Valley distillers surprised when FDA tells them to pay thousands for stepping up to make hand sanitizer    The Morning Call $14K fees reversed for distillers who produced hand sanitizer in 2020    WHAS11 FDA assesses fee to Ohio distilleries for hand sanitizer production    LimaOhio.com Distilleries won't have to pay FDA $14K fee for making hand sanitizer    Frederick News Post NC distilleries that made hand sanitizer stunned by proposed $14,060 federal fee    Raleigh News & Observer 
Pair charged in string of high-end robberies at local malls - KRQE News 13;https://news.google.com/__i/rss/rd/articles/CBMiXGh0dHBzOi8vd3d3LmtycWUuY29tL25ld3MvY3JpbWUvcGFpci1jaGFyZ2VkLWluLXN0cmluZy1vZi1oaWdoLWVuZC1yb2JiZXJpZXMtYXQtbG9jYWwtbWFsbHMv0gFgaHR0cHM6Ly93d3cua3JxZS5jb20vbmV3cy9jcmltZS9wYWlyLWNoYXJnZWQtaW4tc3RyaW5nLW9mLWhpZ2gtZW5kLXJvYmJlcmllcy1hdC1sb2NhbC1tYWxscy9hbXAv?oc=5;null;BUSINESS;1609665122.408595;Pair charged in string of high-end robberies at local malls    KRQE News 13 Crews put out residential fire in NW Albuquerque    KRQE News 13 City councilor wants to push west side road project start date further back    KRQE News 13 SFPD investigation of NYE shots fired leads to arrest    KRQE News 13 AFR puts out commercial fire in NW part of city    KRQE News 13 
Utah health department reports 5042 new coronavirus cases from past 2 days - KSL.com;https://news.google.com/__i/rss/rd/articles/CBMib2h0dHBzOi8vd3d3LmtzbC5jb20vYXJ0aWNsZS81MDA3NjY1MS91dGFoLWhlYWx0aC1kZXBhcnRtZW50LXJlcG9ydHMtNTA0Mi1uZXctY29yb25hdmlydXMtY2FzZXMtZnJvbS1wYXN0LTItZGF5c9IBAA?oc=5;null;BUSINESS;1609665122.408595;Utah health department reports 5042 new coronavirus cases from past 2 days    KSL.com Utah's new COVID-19 infections ease after record high while pace of vaccinations picks up    Salt Lake Tribune More than 5,000 new COVID-19 cases in first official Utah Department of Health report of 2021    fox13now.com Saturday COVID-19 case count: two-day total new cases 5,042    kslnewsradio.com Utah reports 5,042 COVID-19 cases, 25 more deaths for Friday, Saturday    Deseret News 
COVID-19 updates: Dallas County reports new single-day record, says 11 residents found dead at home - WFAA.com;https://news.google.com/__i/rss/rd/articles/CBMiiQFodHRwczovL3d3dy53ZmFhLmNvbS9hcnRpY2xlL25ld3MvaGVhbHRoL2Nvcm9uYXZpcnVzL2NvdmlkLXVwZGF0ZXMtamFudWFyeS0ybmQtZGFsbGFzLWZvcnQtd29ydGgvMjg3LTE4MzAxMTkxLWQyMWItNDcxMS05MzQ5LTY5OTYyZWNkZGVlMtIBjQFodHRwczovL3d3dy53ZmFhLmNvbS9hbXAvYXJ0aWNsZS9uZXdzL2hlYWx0aC9jb3JvbmF2aXJ1cy9jb3ZpZC11cGRhdGVzLWphbnVhcnktMm5kLWRhbGxhcy1mb3J0LXdvcnRoLzI4Ny0xODMwMTE5MS1kMjFiLTQ3MTEtOTM0OS02OTk2MmVjZGRlZTI?oc=5;null;BUSINESS;1609665122.408595;COVID-19 updates: Dallas County reports new single-day record, says 11 residents found dead at home    WFAA.com Dallas, Tarrant County Leaders Talk COVID-19 Vaccination Demand And Changes To Distribution    CBSDFW Dallas County Launches COVID-19 Vaccination Registration Website, Awaits Second Allotment    NBC 5 Dallas-Fort Worth Dallas County Health and Human Services launches COVID-19 vaccination registration website    FOX 4 Dallas Dallas County shatters 1-day record by adding 2,842 new coronavirus cases, 23 deaths also announced    The Dallas Morning News 
Vaccinations still lagging as U.S. COVID-19 cases surpass 20 million - CBS Evening News;https://news.google.com/__i/rss/rd/articles/CBMiK2h0dHBzOi8vd3d3LnlvdXR1YmUuY29tL3dhdGNoP3Y9SVVSamNuMm9zaTTSAQA?oc=5;https://i.ytimg.com/vi/IURjcn2osi4/maxresdefault.jpg;BUSINESS;1609665122.408595;Vaccinations still lagging as U.S. COVID-19 cases surpass 20 million    CBS Evening News How airlines are transforming to deliver the Covid-19 vaccine and why it is especially challenging now    CNBC How the U.S. can speed up Covid-19 vaccine delivery: Premier's Mike Alkire    CNBC Television How US Airlines Transport Covid-19 Vaccines    CNBC 
Stay-at-home order for Greater Sacramento region extended - KCRA Sacramento;https://news.google.com/__i/rss/rd/articles/CBMiW2h0dHBzOi8vd3d3LmtjcmEuY29tL2FydGljbGUvc3RheS1hdC1ob21lLW9yZGVyLWdyZWF0ZXItc2FjcmFtZW50by1yZWdpb24tZXh0ZW5kZWQvMzUxMDkxNjjSAV9odHRwczovL3d3dy5rY3JhLmNvbS9hbXAvYXJ0aWNsZS9zdGF5LWF0LWhvbWUtb3JkZXItZ3JlYXRlci1zYWNyYW1lbnRvLXJlZ2lvbi1leHRlbmRlZC8zNTEwOTE2OA?oc=5;null;BUSINESS;1609665122.408595;Stay-at-home order for Greater Sacramento region extended    KCRA Sacramento Greater Sacramento Region Remains Under Regional Stay at Home Order    YubaNet 'Now is not the time to loosen restrictions': Stay-at-home order for Greater Sacramento region ex...    KCRA News Stay-At-Home Order Remains In Effect for Greater Sacramento Region    CBS Sacramento Local restaurants ready themselves for another stay-at-home order extension    KTXL FOX 40 Sacramento 
Pfizer/BioNTech to speed up vaccination of placebo arm in COVID-19 trial - Seeking Alpha;https://news.google.com/__i/rss/rd/articles/CBMic2h0dHBzOi8vc2Vla2luZ2FscGhhLmNvbS9uZXdzLzM2NDgxODEtcGZpemVyLWJpb250ZWNoLXRvLXNwZWVkLXVwLXZhY2NpbmF0aW9uLW9mLXBsYWNlYm8tYXJtLWluLWNvdmlkbWludXMtMTktdHJpYWzSAXdodHRwczovL3NlZWtpbmdhbHBoYS5jb20vYW1wL25ld3MvMzY0ODE4MS1wZml6ZXItYmlvbnRlY2gtdG8tc3BlZWQtdXAtdmFjY2luYXRpb24tb2YtcGxhY2Viby1hcm0taW4tY292aWRtaW51cy0xOS10cmlhbA?oc=5;https://news.google.com/samw/static/images/favicon.svg;BUSINESS;1609665122.408595;Pfizer/BioNTech to speed up vaccination of placebo arm in COVID-19 trial    Seeking Alpha 
